site_id,name,latitude,longitude,operator,n_refill_points,max_power_kw,connector_types,type_of_site
2025000297,"Córdoba, Spain",37.88988,-4.749699,Tesla Spain SLU,8,250.0,iec62196T2COMBO,openSpace
2025000058,ES JAIME I - REPSOL,41.672554,0.18780406,"ESTACION SERVICIO JAIME I, S.A.",1,35.0,chademo|iec62196T2|iec62196T2COMBO,onstreet
2025000057,ESTACION SERVICIO JAIME I - REPSOL,41.911148,0.19667546,"ESTACION SERVICIO JAIME I, S.A.",1,35.0,chademo|iec62196T2|iec62196T2COMBO,onstreet
2025000054,ESTACION SERVICIO CASTEJON DEL PUENTE - Moeve,41.950005,0.15355359,"ESTACION SERVICIO JAIME I, S.A.",1,50.0,chademo|iec62196T2|iec62196T2COMBO,
2025000190,Hotel restaurante La Tejera,37.357105,-2.287005,"JARDINES LA TEJERA, S.A.U.",1,22.0,iec62196T2,openSpace
2025000189,Parque Industrial Cosentino Cantoria,37.36639,-2.2422223,"COSENTINO INDUSTRIAL, S.A.U.",1,22.0,iec62196T2,openSpace
2025000187,COLEGIO VISITILLAS,37.171177,-3.590299,FUNDACION PATRONATO AVEMARIANO DE GRANADA,1,44.4,iec62196T2,openSpace
2025000188,COLEGIO SAN CRISTÓBAL,37.184063,-3.5959058,FUNDACION PATRONATO AVEMARIANO DE GRANADA,1,44.4,iec62196T2,openSpace
2025000191,La Creu,41.33462,1.99723,IBERDROLA CLIENTES S.A.U,2,22.0,domesticF|iec62196T2,openSpace
2025000192,TV3 - Hospital,41.37444,2.07223,IBERDROLA CLIENTES S.A.U,4,96.0,domesticF|iec62196T2|iec62196T2COMBO,openSpace
2025000193,Pl. de la Volateria,41.31815,2.07482,IBERDROLA CLIENTES S.A.U,4,96.0,domesticF|iec62196T2|iec62196T2COMBO,openSpace
2025000194,Carreró Església,41.35941,1.98135,IBERDROLA CLIENTES S.A.U,2,22.0,domesticF|iec62196T2,openSpace
2025000195,Carrer Major,41.39628,1.95918,IBERDROLA CLIENTES S.A.U,2,22.0,domesticF|iec62196T2,openSpace
2025000196,Av. Generalitat - F. Macià,41.43658,2.00921,IBERDROLA CLIENTES S.A.U,2,22.0,domesticF|iec62196T2,openSpace
2025000197,Av. La Ferreria - Progrés,41.48494,2.17826,IBERDROLA CLIENTES S.A.U,4,120.0,domesticF|iec62196T2|iec62196T2COMBO,openSpace
2025000198,Av. Generalitat - C. del Riu,41.42302,1.99694,IBERDROLA CLIENTES S.A.U,2,21.0,domesticF|iec62196T2,openSpace
2025000199,Tarragona - Aqua,41.49249,2.18508,IBERDROLA CLIENTES S.A.U,4,50.0,chademo|domesticF|iec62196T2|iec62196T2COMBO,openSpace
2025000159,MU-MURCIA-025,37.993046,-1.130392,IBERDROLA CLIENTES S.A.U,2,50.0,chademo|iec62196T2|iec62196T2COMBO,onstreet
2025000166,CS-Castellondelaplana-012,39.983322,-0.018555,IBERDROLA CLIENTES S.A.U,2,100.0,iec62196T2COMBO,
2025000167,E-BI-Bermeo-004,43.45388,-2.752456,IBERDROLA CLIENTES S.A.U,2,22.0,iec62196T2,
2025000175,E-V-Albal-004,39.406914,-0.40318,IBERDROLA CLIENTES S.A.U,2,22.0,iec62196T2,openSpace
2025000177,E-MA-Churriana-003,36.62929,-4.49145,IBERDROLA CLIENTES S.A.U,2,22.0,iec62196T2,openSpace
2025000178,M-Madrid-148,40.443184,-3.710028,IBERDROLA CLIENTES S.A.U,4,100.0,chademo|iec62196T2|iec62196T2COMBO,onstreet
2025000180,E-LE-Leon-015,42.60303,-5.59623,IBERDROLA CLIENTES S.A.U,2,22.0,iec62196T2,
2025000183,SE-SEVILLA-046,37.359215,-5.981231,IBERDROLA CLIENTES S.A.U,4,7.4,iec62196T2,
2025000185,M-Madrid-151,40.38487,-3.764633,IBERDROLA CLIENTES S.A.U,4,100.0,chademo|iec62196T2|iec62196T2COMBO,onstreet
2025000186,V-VALENCIA-001-2,39.45682,-0.348942,IBERDROLA CLIENTES S.A.U,20,150.0,iec62196T2|iec62196T2COMBO,
2025000154,TK Elevators Home - Miguel Magan,41.332996,2.09999,"Wenea Services Spain, S.L.",1,7.4,iec62196T2,onstreet
2025000117,CONSUM CAMPELLO,38.422653,-0.3949398,REMO SUSTAINABLE MOBILITY S.L,1,100.0,iec62196T2|iec62196T2COMBO,inBuilding
2024006741,C8A233S023BBGJKJBM-,36.69435,-6.100985,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,180.0,iec62196T2COMBO,other
2024006740,HYC22BZ2909A-,40.297028,-3.692278,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other
2024006739,HYC22BZ3231A-,40.297028,-3.692278,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other
2024006738,C8A233S023JBGMTWZD-,38.315155,-6.302123,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,180.0,iec62196T2COMBO,other
2024006737,C8A233S023CNWAUQEH-,28.009832,-15.390083,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,180.0,iec62196T2COMBO,other
2024006736,C8A233S023DKYBKATA-,40.952175,-5.649138,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,180.0,iec62196T2COMBO,other
2024006735,HYC23BZ0933A-,42.73453,-1.633457,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,150.0,iec62196T2COMBO,other
2024006734,C8A233S023DXEJQQSX-,37.890842,-4.75873,"CEPSA COMERCIAL PETRÓLEO,S.A.U.",1,180.0,iec62196T2COMBO,other
