Carretera,Tipo_de_via,length_m,nearest_station_m,has_gap
A-66,Autopista libre\Autovía,3366.0307671025575,1082.3111407074416,False
A-66,Autopista libre\Autovía,129552.96234258014,7655.198956447943,False
A-66,Autopista libre\Autovía,69668.81157113782,6856.927067774409,False
A-66,Autopista libre\Autovía,65467.04754836701,7434.840767317151,False
A-66,Autopista libre\Autovía,59742.86702211901,2761.2359195520453,False
A-66,Autopista libre\Autovía,83217.6528549703,3137.944021887651,False
A-66,Autopista libre\Autovía,37760.43305732347,1957.674148673861,False
A-67,Autopista libre\Autovía,8342.011292256311,2975.096461691854,False
A-67,Autopista libre\Autovía,95168.3636958468,11836.90664767535,False
A-67,Autopista libre\Autovía,78157.21474733182,6436.261858080323,False
A-67,Autopista libre\Autovía,22146.172838988074,656.457900271458,False
A-67,Autopista libre\Autovía,1.0983580863962563,572.6464756668241,False
A-68,Autopista libre\Autovía,32402.778757124146,2121.295323663468,False
A-68,Autopista libre\Autovía,9250.15650188627,4232.031872679526,False
A-68,Multicarril,1282.176069550239,772.6541189963365,False
A-68,Autopista libre\Autovía,3169.131425678149,1197.0484649692314,False
A-68,Autopista libre\Autovía,8933.877708880875,485.8552603303037,False
A-68,Multicarril,14051.85629881785,1754.4242002581504,False
A-7,Autopista libre\Autovía,24252.073979195924,2266.513318051767,False
A-7,Autopista libre\Autovía,37.40070384088752,1418.7737180278011,False
A-7,Autopista libre\Autovía,17584.90438990895,7062.590012125963,False
A-7,Autopista libre\Autovía,11707.62742149078,3658.7994929235974,False
A-7,Autopista libre\Autovía,17505.11974073761,1226.8835968063931,False
A-7,Autopista libre\Autovía,44129.45683861303,2982.9971830598706,False
A-7,Autopista libre\Autovía,92300.99454185588,6405.728729456894,False
A-7,Autopista libre\Autovía,1636.7012528817638,7070.18154219371,False
A-7,Autopista libre\Autovía,5921.204026202504,4832.699715567099,False
A-7,Autopista libre\Autovía,39395.82018454073,2357.1411987784077,False
A-7,Autopista libre\Autovía,14499.140941303278,6014.096436297196,False
A-7,Autopista libre\Autovía,83792.16267565516,3766.796422471615,False
A-7,Autopista libre\Autovía,10894.134081864528,5585.5521320325615,False
A-7,Autopista libre\Autovía,53492.97109128369,1343.767869369817,False
A-70,Autopista libre\Autovía,17899.737771630666,771.152020363706,False
A-70,Autopista libre\Autovía,4953.47094564869,817.8562794818225,False
A-70,Autopista libre\Autovía,9282.496910704642,1536.560140659402,False
A-73,Autopista libre\Autovía,9951.89929345568,1449.4579055395736,False
A-73,Autopista libre\Autovía,324.45541355247065,4085.516661555373,False
A-73R,Multicarril,528.025263551753,4190.892501627619,False
A-75,Autopista libre\Autovía,12754.43165912056,4431.4613722567865,False
A-75,Autopista libre\Autovía,1.7716704563989287,1505.1748001072403,False
A-77,Autopista libre\Autovía,7234.97170896399,4146.84147937056,False
A-77A,Multicarril,3636.546132452748,2499.3367312375485,False
A-79,Multicarril,6572.265339866786,3135.528135082034,False
A-8,Autopista libre\Autovía,8874.445009948122,505.88413286414334,False
A-8,Autopista libre\Autovía,310.09548414477194,399.6763086741877,False
A-8,Autopista libre\Autovía,9209.908325152615,1312.4372662528692,False
A-8,Autopista libre\Autovía,59985.44342116636,1734.8667398627556,False
A-8,Autopista libre\Autovía,30457.135584589476,3329.8248710542916,False
A-8,Autopista libre\Autovía,1017.2723518838615,1751.8709094948176,False
A-8,Autopista libre\Autovía,43000.23819666917,4554.133263326363,False
A-8,Autopista libre\Autovía,20947.886968919684,5435.729987108808,False
A-8,Autopista libre\Autovía,65724.73100693821,6340.660353034935,False
A-8,Autopista libre\Autovía,18912.595857525397,2529.594501920743,False
A-8,Autopista libre\Autovía,3830.448101537101,1018.7121667568431,False
A-8,Autopista libre\Autovía,7260.555242168239,2359.395880882961,False
A-8,Autopista libre\Autovía,8432.524159691955,1015.5762882367802,False
A-8,Autopista libre\Autovía,18122.994142255222,1854.908861271872,False
A-8,Autopista libre\Autovía,7304.311447430681,4065.077923514304,False
A-8,Autopista libre\Autovía,3.7503842365497237,5393.6030219922595,False
A-8,Autopista libre\Autovía,40252.4826796935,3840.507406919649,False
A-8,Autopista libre\Autovía,36223.77757811952,5020.084595062685,False
A-8,Autopista libre\Autovía,22060.392384342525,2670.821108106969,False
A-8,Autopista libre\Autovía,11222.992435127968,4600.4007101207335,False
A-8,Autopista libre\Autovía,18241.056475891408,2714.6694788609143,False
A-8,Autopista libre\Autovía,40608.75146584373,18022.267463436205,False
A-91,Autopista libre\Autovía,17674.291274185947,8422.357867588951,False
A-92,Autopista libre\Autovía,7283.655123642998,1095.2537534559299,False
