Carretera,Tipo_de_via,n_segments,total_length_m,mean_segment_length_m,mean_nearest_station_m,max_nearest_station_m,n_gaps,gap_ratio,n_stations,total_refill_points,mean_max_power_kw,max_max_power_kw,mean_lat,mean_lon,n_operators,has_chademo,has_ccs,nearest_grid_dist_deg,grid_capacity_occupied_mw,grid_capacity_pending_mw,max_voltage_kv,comunidad_autonoma,provincia,ev_fleet_2027,ev_registrations_2026,ev_registrations_2027,ev_growth_rate,road_type_rank,stations_per_100km,refill_points_per_100km,needs_more_stations
A-7,Autopista libre\Autovía,14,417149.71186937473,29796.407990669624,3999.4658119401925,7070.18154219371,0,0.0,58,243,99.23068965517241,360.0,39.40299905172414,-0.23419572413793102,13,True,True,0.8387626531794583,5.49,0.0,20.0,02 - Aragón,Teruel,327883,76108,88118,1.1578020707415777,4,13.903881112630847,58.25246742016027,0
A-70,Autopista libre\Autovía,3,32135.705627983996,10711.901875994665,1041.856146834977,1536.560140659402,0,0.0,10,33,115.6,400.0,38.348867999999996,-0.53965376,5,True,True,1.4922455876037617,27.44,0.0,132.0,01 - Andalucía,Almería,327883,76108,88118,1.1578020707415777,4,31.118034611606383,102.68951421830106,0
A-73,Autopista libre\Autovía,2,10276.354707008151,5138.177353504076,2767.4872835474735,4085.516661555373,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,4,0.0,0.0,1
A-73R,Multicarril,1,528.025263551753,528.025263551753,4190.892501627619,4190.892501627619,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,2,0.0,0.0,1
A-75,Autopista libre\Autovía,2,12756.20332957696,6378.10166478848,2968.3180861820133,4431.4613722567865,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,4,0.0,0.0,1
A-77,Autopista libre\Autovía,1,7234.97170896399,7234.97170896399,4146.84147937056,4146.84147937056,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,4,0.0,0.0,1
A-77A,Multicarril,1,3636.546132452748,3636.546132452748,2499.3367312375485,2499.3367312375485,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,2,0.0,0.0,1
A-79,Multicarril,1,6572.265339866786,6572.265339866786,3135.528135082034,3135.528135082034,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,2,0.0,0.0,1
A-7S,Autopista libre\Autovía,21,421645.3286825559,20078.348984883614,3221.8668922008815,9138.735001299863,0,0.0,86,212,72.0796511627907,350.0,36.61979268604651,-4.173906974418604,15,True,True,0.1252176627691642,45.92,0.0,132.0,01 - Andalucía,Málaga,327883,76108,88118,1.1578020707415777,4,20.396289049071104,50.27922416747761,0
A-7S,Autopista peaje,2,7910.138523538258,3955.069261769129,1119.284394534849,1660.228671374279,0,0.0,5,17,54.4,90.0,36.484954599999995,-4.9900896,3,True,True,0.024023377423308675,70.43,38.42,66.0,01 - Andalucía,Málaga,327883,76108,88118,1.1578020707415777,3,63.21001819527513,214.91406186393544,0
A-7S,Multicarril,3,26345.492144793985,8781.830714931328,332.0780281436465,546.1815771749557,0,0.0,9,30,70.66666666666667,250.0,36.257804444444446,-5.342828888888889,6,True,True,0.0011522986893512238,4.8,0.0,66.0,01 - Andalucía,Cádiz,327883,76108,88118,1.1578020707415777,2,34.161441929178196,113.87147309726065,0
A-8,Autopista libre\Autovía,22,472003.7887032761,21454.71766833073,3657.7592381252766,18022.267463436205,0,0.0,46,176,96.8804347826087,400.0,43.40822334782609,-4.6886054999999995,13,True,True,1.9681403872780447,0.0,0.0,132.0,07 - C.León,León,327883,76108,88118,1.1578020707415777,4,9.745684484095905,37.28783628697564,0
A-91,Autopista libre\Autovía,1,17674.291274185947,17674.291274185947,8422.357867588951,8422.357867588951,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,4,0.0,0.0,1
