n_segments,mean_segment_length_m,mean_nearest_station_m,max_nearest_station_m,total_refill_points,mean_max_power_kw,max_max_power_kw,mean_lat,mean_lon,n_operators,nearest_grid_dist_deg,grid_capacity_occupied_mw,grid_capacity_pending_mw,max_voltage_kv,refill_points_per_100km,afir_stations_required,afir_power_compliant,afir_power_gap_kw,is_tent_core,power_range_kw,has_hpc,connector_diversity,coverage_ratio,refill_per_station,gap_severity,station_density_per_segment,grid_strong_hv,grid_utilization,traffic_weight,ev_demand_2027_road,ev_fleet_2027_regional,ev_per_100km_regional,log_total_length_m,log_mean_nearest_station_m,log_n_stations,log_max_max_power_kw,log_refill_points_per_100km,log_grid_capacity_pending_mw,log_nearest_grid_dist_deg,log_ev_per_100km_regional,demand_vs_supply,grid_x_power,tent_x_gap,tipo_de_via_Autopista peaje,tipo_de_via_Carretera convencional,tipo_de_via_Multicarril,comunidad_autonoma_02 - Aragón,comunidad_autonoma_04 - Illes Balears,comunidad_autonoma_05 - Canarias,comunidad_autonoma_07 - C.León,comunidad_autonoma_08 - C.La Mancha,comunidad_autonoma_09 - Catalunya,comunidad_autonoma_11 - Extremadura,comunidad_autonoma_12 - Galicia,comunidad_autonoma_15 - Navarra,comunidad_autonoma_unknown,coverage_band_moderate,coverage_band_good,coverage_band_full,carretera_group,y_clf,y_reg
6,31830.949468773644,3236.4881340528736,7404.890877900807,83,73.96419354838709,350.0,38.00811816129032,-1.180936829032258,11,0.7971656000546048,27.44,0.0,132.0,43.45875182549587,4,1,76.03580645161291,1,276.0358064516129,1,2,1.0,2.6774193548387095,2.28794006688604,5.166666666666667,1,1.0,4.0,3644.311761136458,59346.823,1566.1656742912744,12.159959054407487,8.082553040843663,3.4657359027997265,5.860786223465865,3.794561834041558,0.0,0.5862107571752402,7.357023963819814,0.379998720450234,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,A-30,0,0
7,34296.484428669886,3147.132086540986,8701.22827711547,105,96.0,360.0,38.764681466666666,-1.33181586,10,1.206228049373585,70.41,0.0,15.0,43.73626116460165,5,1,54.0,1,264.0,1,2,1.0,3.5,2.764811910604932,4.285714285714286,0,1.0,4.0,4581.021435555653,8197.075,264.53959137413943,12.38871244751496,8.054564567532834,3.4339872044851463,5.8888779583328805,3.800784384501173,0.0,0.7912842923575493,5.58176394961796,0.39963588540370837,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,A-31,0,0
3,29751.613195585523,5574.854337688733,10530.175753768212,0,0.0,0.0,40.47113672940836,-3.651627949173478,0,0.6186893643023295,18.6,0.0,66.0,0.0,2,0,150.0,1,0.0,0,0,1.0,0.0,1.8888701149694782,0.0,0,1.0,4.0,1703.1247212374187,8197.075,381.4525327661002,11.399262127044958,8.626200829016064,0.0,0.0,0.0,0.0,0.4816167874180782,5.946604548222349,11.399262127044958,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,A-32,1,2
1,92102.25361378927,11508.16048791727,11508.16048791727,0,0.0,0.0,40.47113672940836,-3.651627949173478,0,0.6186893643023295,18.6,0.0,66.0,0.0,2,0,150.0,1,0.0,0,0,1.0,0.0,1.0,0.0,0,1.0,4.0,1757.4579231510677,8197.075,381.4525327661002,11.430665548587811,9.3508985614292,0.0,0.0,0.0,0.0,0.4816167874180782,5.946604548222349,11.430665548587811,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,A-33,1,2
3,15159.229387743057,4189.768659730408,8612.31816852365,7,64.35,150.0,38.8951815,-0.721881,3,1.2334134991535275,6.89,0.0,132.0,15.392163240302583,1,1,85.65,1,85.65,0,2,1.0,1.75,2.0555593561287013,1.3333333333333333,1,1.0,4.0,867.7868374883551,9180.724,166.9679121196385,10.724999103192294,8.340639447100749,1.6094379124341003,5.017279836814924,2.7968033694218213,0.0,0.8035311322279659,5.123772961872706,2.144999820638459,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,A-35,0,0
2,13649.411672945906,1448.6379091734907,2333.615045748976,2,22.0,22.0,39.27468,-0.3808,1,0.8972819283727982,5.49,0.0,20.0,7.326323097002565,1,0,128.0,1,0.0,0,0,1.0,2.0,1.6109029254110867,0.5,0,1.0,4.0,520.9050973184438,9180.724,166.9679121196385,10.214635510305662,7.27906908641855,0.6931471805599453,3.1354942159291497,2.119421953809261,0.0,0.6404222979244407,5.123772961872706,5.107317755152831,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,A-38,0,0
1,88458.08672238447,4954.758110225178,4954.758110225178,13,140.0,200.0,36.2349496,-5.5374148,3,0.0872814756878411,37.53,0.0,66.0,14.696225615639872,2,1,10.0,1,60.0,0,2,1.0,2.6,1.0,5.0,0,1.0,4.0,1687.9214055818024,59346.823,1566.1656742912744,11.390295427181645,8.508305434097293,1.791759469228055,5.303304908059076,2.75342027680481,0.0,0.08368052189293629,7.357023963819814,1.8983825711969409,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,A-381,0,0
15,38892.70966975684,3590.047754019697,13530.78659175952,357,93.86533898305083,350.0,38.86874333898305,-4.036313103389831,21,0.1924651433284151,40.0,0.0,132.0,61.19398777325868,10,1,56.13466101694917,1,256.13466101694917,1,2,1.0,3.0254237288135593,3.768971200065347,7.866666666666666,1,1.0,4.0,11132.024149248633,14098.969,1937.583581940276,13.27661401517223,8.18619929238876,4.77912349311153,5.860786223465865,4.1302583354793825,0.0,0.17602271343987827,7.569712872993591,0.11156818500144731,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,A-4,0,0
4,45000.57422525022,8785.204817140015,20711.28593254307,29,56.285714285714285,100.0,40.036398,-3.0597341428571427,4,0.1911654594055872,44.67,0.0,15.0,16.1109055269165,4,0,93.71428571428572,1,43.714285714285715,0,2,1.0,4.142857142857143,2.357518847157116,1.75,0,1.0,4.0,3434.7309697826154,8197.075,264.53959137413943,12.10073044582128,9.080938136025905,2.0794415416798357,4.61512051684126,2.8397160103445094,0.0,0.1749322054978031,5.58176394961796,1.51259130572766,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,A-40,0,0
2,18450.82441365823,6994.658108086716,13554.526955062449,5,50.0,50.0,38.977997,-3.913356,2,0.3347491868964156,40.0,0.0,132.0,13.549530058664338,1,0,100.0,1,0.0,0,2,1.0,2.5,1.9378398122692642,1.0,1,1.0,4.0,704.1423262111796,14098.969,1937.583581940276,10.51603861139039,8.853044965316935,1.0986122886681098,3.9318256327243257,2.677558694722313,0.0,0.2887433992175389,7.569712872993591,3.505346203796797,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,A-41,0,0
